Date,Price
"1914-12-31 00:00:00",54.63
"1915-01-30 00:00:00",56.54
"1915-02-27 00:00:00",55.02
"1915-03-31 00:00:00",60.83
"1915-04-30 00:00:00",71.78
"1915-05-29 00:00:00",65.01
"1915-06-30 00:00:00",70.06
"1915-07-31 00:00:00",75.53
"1915-08-31 00:00:00",81.2
"1915-09-30 00:00:00",90.58
"1915-10-30 00:00:00",95.34
"1915-11-30 00:00:00",96.71
"1915-12-31 00:00:00",99.15
"1916-01-31 00:00:00",90.58
"1916-02-29 00:00:00",91.03
"1916-03-31 00:00:00",93.25
"1916-04-29 00:00:00",89.65
"1916-05-31 00:00:00",91.8
"1916-06-30 00:00:00",89.58
"1916-07-31 00:00:00",89.25
"1916-08-31 00:00:00",92.25
"1916-09-30 00:00:00",103.73
"1916-10-31 00:00:00",104.61
"1916-11-29 00:00:00",105.97
"1916-12-30 00:00:00",95
"1917-01-31 00:00:00",95.43
"1917-02-28 00:00:00",91.56
"1917-03-31 00:00:00",96.72
"1917-04-30 00:00:00",93.23
"1917-05-31 00:00:00",97.38
"1917-06-30 00:00:00",95.38
"1917-07-31 00:00:00",91.75
"1917-08-31 00:00:00",83.4
"1917-09-29 00:00:00",83.46
"1917-10-31 00:00:00",74.5
"1917-11-30 00:00:00",72.65
"1917-12-31 00:00:00",74.38
"1918-01-31 00:00:00",79.8
"1918-02-28 00:00:00",80.39
"1918-03-30 00:00:00",76.41
"1918-04-30 00:00:00",77.51
"1918-05-31 00:00:00",78.08
"1918-06-29 00:00:00",82.58
"1918-07-31 00:00:00",81.23
"1918-08-31 00:00:00",82.46
"1918-09-30 00:00:00",84.68
"1918-10-31 00:00:00",85.51
"1918-11-30 00:00:00",80.93
"1918-12-31 00:00:00",82.2
"1919-01-31 00:00:00",80.61
"1919-02-28 00:00:00",84.81
"1919-03-31 00:00:00",88.85
"1919-04-30 00:00:00",92.88
"1919-05-29 00:00:00",105.5
"1919-06-30 00:00:00",106.98
"1919-07-31 00:00:00",107.16
"1919-08-29 00:00:00",104.75
"1919-09-30 00:00:00",111.42
"1919-10-31 00:00:00",118.92
"1919-11-29 00:00:00",103.72
"1919-12-31 00:00:00",107.23
"1920-01-31 00:00:00",104.21
"1920-02-28 00:00:00",91.18
"1920-03-31 00:00:00",102.81
"1920-04-30 00:00:00",93.54
"1920-05-29 00:00:00",91.81
"1920-06-30 00:00:00",90.76
"1920-07-31 00:00:00",86.85
"1920-08-31 00:00:00",86.16
"1920-09-30 00:00:00",82.95
"1920-10-30 00:00:00",85.08
"1920-11-30 00:00:00",76.04
"1920-12-31 00:00:00",71.95
"1921-01-31 00:00:00",76.13
"1921-02-28 00:00:00",74.98
"1921-03-31 00:00:00",75.76
"1921-04-30 00:00:00",78.57
"1921-05-31 00:00:00",73.44
"1921-06-30 00:00:00",68.45
"1921-07-30 00:00:00",68.37
"1921-08-31 00:00:00",67.11
"1921-09-30 00:00:00",71.08
"1921-10-31 00:00:00",73.21
"1921-11-30 00:00:00",77.3
"1921-12-31 00:00:00",80.8
"1922-01-31 00:00:00",81.3
"1922-02-28 00:00:00",85.46
"1922-03-31 00:00:00",89.05
"1922-04-29 00:00:00",91.93
"1922-05-31 00:00:00",96.03
"1922-06-30 00:00:00",92.93
"1922-07-31 00:00:00",97.05
"1922-08-31 00:00:00",100.78
"1922-09-30 00:00:00",97.12
"1922-10-31 00:00:00",96.11
"1922-11-29 00:00:00",94.65
"1922-12-30 00:00:00",98.17
"1923-01-31 00:00:00",97.43
"1923-02-28 00:00:00",103.9
"1923-03-31 00:00:00",102.77
"1923-04-30 00:00:00",98.38
"1923-05-31 00:00:00",97.53
"1923-06-30 00:00:00",88.4
"1923-07-31 00:00:00",86.91
"1923-08-31 00:00:00",93.46
